id,car_make_id,title,deleted_at
962,89,GV70,
963,89,GV80,
964,90,Spectrum,
965,90,Storm,
966,91,Acadia,
967,91,Canyon,
968,91,Envoy,
969,91,Jimmy,
970,91,Safari,
971,91,Savana,
972,91,Sonoma,
973,91,Syclone,
974,91,Terrain,
975,91,Typhoon,
976,91,Vandura,
977,91,Yukon,
978,92,Troy,
979,93,Madison,
980,94,CoolBear,
981,94,Cowry,
982,94,Cowry (V80),
983,94,Deer,
984,94,Florid,
985,94,Hover,
986,94,Hover H3,
987,94,Hover H5,
988,94,Hover H6,
989,94,Hover M1 (Peri 4x4),
990,94,Hover M2,
991,94,Hover M4,
992,94,Hover Pi,
993,94,Pegasus,
994,94,Peri,
995,94,Safe,
996,94,Sailor,
997,94,Sing RUV,
998,94,Socool,
999,94,Voleex C10 (Phenom),
1000,94,Voleex C30,
1001,94,Wingle,
1002,94,Wingle 3,
1003,94,Wingle 5,
1004,94,Wingle 7,
1005,95,Brio,
1006,95,Princip,
1007,95,Saibao,
1008,95,Sigma,
1009,95,Simbo,
1010,96,2,
1011,96,Family,
1012,96,Family F7,
1013,96,Freema,
1014,97,Rekord,
1015,97,Typ 13,
1016,98,F7,
1017,98,F7x,
1018,98,H2,
1019,98,H6,
1020,98,H6 Coupe,
1021,98,H8,
1022,98,H9,
1023,99,B21,
1024,99,Boliger,
1025,99,Laville,
1026,100,Typ 154,
1027,101,Ambassador,
1028,101,Contessa,
1029,101,Pajero,
1030,102,K6,
1031,103,Apollo,
1032,103,Barina,
1033,103,Calais,
1034,103,Commodore,
1035,103,Frontera,
1036,103,Jackaroo,
1037,103,Monaro,
1038,103,Rodeo,
1039,103,Statesman,
1040,103,UTE,
1041,104,Accord,
1042,104,Acty,
1043,104,Airwave,
1044,104,Ascot,
1045,104,Ascot Innova,
1046,104,Avancier,
1047,104,Ballade,
1048,104,Capa,
1049,104,City,
1050,104,Civic,
1051,104,Concerto,
1052,104,CR-V,
1053,104,CR-X,
1054,104,CR-Z,
1055,104,Crossroad,
1056,104,Crosstour,
1057,104,Domani,
1058,104,Edix,
1059,104,Element,
1060,104,Elysion,
1061,104,Fit,
1062,104,Fit Aria,
1063,104,Fit Shuttle,
1064,104,FR-V,
1065,104,Freed,
1066,104,Grace,
1067,104,Horizon,
1068,104,HR-V,
1069,104,Insight,
1070,104,Inspire,
1071,104,Integra SJ,
1072,104,Jade,
1073,104,Jazz,
1074,104,Lagreat,
1075,104,Legend,
1076,104,Life,
1077,104,Logo,
1078,104,Mobilio,
1079,104,Mobilio Spike,
1080,104,N Box,
1081,104,N-BOX Slash,
1082,104,N-One,
1083,104,N-Series,
1084,104,N-WGN,
1085,104,N360,
1086,104,Odyssey,
1087,104,Odyssey (North America),
1088,104,Orthia,
1089,104,Partner,
1090,104,Passport,
1091,104,Pilot,
1092,104,Prelude,
1093,104,Rafaga,
1094,104,Ridgeline,
1095,104,S-MX,
1096,104,S2000,
1097,104,S500,
1098,104,S600,
1099,104,S660,
1100,104,Saber,
1101,104,Stepwgn,
1102,104,Stream,
1103,104,Street,
1104,104,That's,
1105,104,Today,
1106,104,Torneo,
1107,104,Vamos,
1108,104,Vezel,
1109,104,Vigor,
1110,104,Z,
1111,104,Zest,
1112,105,830,
1113,105,853,
1114,106,Landscape,
1115,107,Super Six,
1116,108,H1,
1117,109,Accent,
1118,109,Amica,
1119,109,Atos,
1120,109,Avante,
1121,109,Azera,
1122,109,Centennial,
1123,109,Click,
1124,109,Creta,
1125,109,Elantra,
1126,109,Entourage,
1127,109,Eon,
1128,109,Equus,
1129,109,Excel,
1130,109,Galloper,
1131,109,Genesis,
1132,109,Genesis Coupe,
1133,109,Getz,
1134,109,Grand Starex,
1135,109,Grandeur,
1136,109,H-1,
1137,109,H-100,
1138,109,H200,
1139,109,HB20,
1140,109,i10,
1141,109,i20,
1142,109,i30,
1143,109,i40,
1144,109,i45,
1145,109,Ioniq,
1146,109,ix20,
1147,109,ix35,
1148,109,ix55,
1149,109,Kona,
1150,109,Lantra,
1151,109,Lavita,
1152,109,Marcia,
1153,109,Matrix,
1154,109,Pony,
1155,109,Presto,
1156,109,Rohens,
1157,109,S-Coupe,
1158,109,Santa Fe,
1159,109,Santamo,
1160,109,Solaris,
1161,109,Sonata,
1162,109,Starex,
1163,109,Stellar,
1164,109,TB,
1165,109,Terracan,
1166,109,Tiburon,
1167,109,Trajet,
1168,109,Tucson,
1169,109,Tuscani,
1170,109,Veloster,
1171,109,Veracruz,
1172,109,Verna,
1173,109,XG,
1174,110,EX,
1175,110,EX-Series,
1176,110,FX,
1177,110,FX-Series,
1178,110,G-Series,
1179,110,I,
1180,110,I-Series,
1181,110,J,
1182,110,J30,
1183,110,JX,
1184,110,JX-Series,
1185,110,M,
1186,110,M-Series,
1187,110,Q,
1188,110,Q30,
1189,110,Q45,
1190,110,Q50,
1191,110,Q60,
1192,110,Q70,
1193,110,QX30,
1194,110,QX4,
1195,110,QX50,
1196,110,QX56,
1197,110,QX60,
1198,110,QX70,
1199,110,QX80,
1200,111,Elba,
1201,111,Mille,
1202,111,Small,
1203,112,Dena,
1204,112,Runna,
1205,112,Sahra,
1206,112,Samand,
1207,112,Sarir,
1208,112,Soren,
1209,113,Commendatore 112i,
1210,113,Imperator,
1211,113,Imperator 108i,
1212,113,Spyder,
1213,114,117,
1214,114,Amigo,
1215,114,Ascender,
1216,114,Aska,
1217,114,Axiom,
1218,114,Bellett,
1219,114,Bighorn,
1220,114,D-Max,
1221,114,Fargo,
1222,114,Fargo Filly,
1223,114,Florian,
1224,114,Gemini,
1225,114,Hombre,
1226,114,Impulse,
1227,114,KB,
1228,114,MU,
1229,114,MU-7,
1230,114,MU-X,
1231,114,Piazza,
1232,114,Stylus,
1233,114,TF (Pickup),
1234,114,Trooper,
1235,114,VehiCross,
1236,114,Wizard,
1237,115,Massif,
1238,116,2125,
1239,116,2126,
1240,116,21261,
1241,116,2715,
1242,116,2717,
1243,116,Moskvich-412,
1244,117,J2,
1245,117,J2 (Yueyue),
1246,117,"J3 (Tongyue,Tojoy)",
1247,117,J4 (Heyue A30),
1248,117,J5,
1249,117,J5 (Heyue),
1250,117,J6 (Heyue RS),
1251,117,J7 (Binyue),
1252,117,M1 (Refine),
1253,117,Refine,
1254,117,Rein,
1255,117,S1 (Rein),
1256,117,S5 (Eagle),
1257,117,T6,
1258,118,E-Pace,
1259,118,E-Type,
1260,118,F-Pace,
1261,118,F-Type,
1262,118,I-Pace,
1263,118,Mark 2,
1264,118,Mark IX,
1265,118,S-Type,
1266,118,X-Type,
1267,118,XE,
1268,118,XF,
1269,118,XFR,
1270,118,XJ,
1271,118,XJ220,
1272,118,XJR,
1273,118,XJS,
1274,118,XK,
1275,118,XKR,
1276,119,Cherokee,
1277,119,CJ,
1278,119,Commander,
1279,119,Compass,
1280,119,Gladiator,
1281,119,Grand Cherokee,
1282,119,Grand Wagoneer,
1283,119,Liberty,
1284,119,Liberty (North America),
1285,119,Liberty (Patriot),
1286,119,Patriot,
1287,119,Renegade,
1288,119,Wrangler,
1289,120,Interceptor,
1290,120,S-V8,
1291,121,Alto,
1292,121,Chuanqi,
1293,121,City Spirit,
1294,122,Haise,
1295,123,Baodian,
1296,124,2317,
1297,125,Amanti,
1298,125,Avella,
1299,125,Borrego,
1300,125,Brisa,
1301,125,Cadenza,
1302,125,Capital,
1303,125,Carens,
1304,125,Carnival,
1305,125,Carstar,
1306,125,Cee'd,
1307,125,Ceed,
1308,125,Ceed GT,
1309,125,Cerato,
1310,125,Clarus,
1311,125,Concord,
1312,125,Credos,
1313,125,Elan,
1314,125,Enterprise,
1315,125,Forte,
1316,125,Joice,
1317,125,K3,
1318,125,K5,
1319,125,K7,
1320,125,K9,
1321,125,K900,
1322,125,Lotze,
1323,125,Magentis,
1324,125,Mentor,
1325,125,Mohave,
1326,125,Morning,
1327,125,Niro,
1328,125,Opirus,
1329,125,Optima,
1330,125,Parktown,
1331,125,Picanto,
1332,125,Potentia,
1333,125,Pregio,
1334,125,Pride,
1335,125,Quanlima,
1336,125,Quoris,
1337,125,Ray,
1338,125,Retona,
1339,125,Rio,
1340,125,Rondo,
1341,125,Sedona,
1342,125,Seltos,
1343,125,Sephia,
1344,125,Shuma,
1345,125,Sorento,
1346,125,Sorento Prime,
1347,125,Soul,
1348,125,Spectra,
1349,125,Sportage,
1350,125,Stinger,
1351,125,Stonic,
1352,125,Telluride,
1353,125,Towner,
1354,125,Venga,
1355,125,Visto,
1356,125,X-Trek,
1357,125,XCeed,
1358,126,CC8S,
1359,126,CCR,
1360,127,X-Bow,
1361,128,350/400 GT,
1362,128,Aventador,
1363,128,Centenario,
1364,128,Diablo,
1365,128,Egoista,
1366,128,Gallardo,
1367,128,Huracan,
1368,128,Islero,
